1.000000,23.700000,9.800000,11.063911
1.000000,24.400000,9.700000,6.784424
1.000000,24.400000,10.200000,9.334333
1.000000,25.200000,11.400000,13.067049
1.000000,22.800000,9.500000,15.917908
1.000000,24.300000,11.000000,17.587461
1.000000,23.700000,9.600000,9.709175
1.000000,23.800000,10.900000,22.699842
1.000000,24.100000,9.700000,8.116747
1.000000,24.900000,10.500000,8.347662
1.000000,24.700000,9.900000,6.410110
1.000000,24.500000,10.600000,11.541916
1.000000,23.800000,10.000000,11.890739
1.000000,23.500000,10.600000,22.178236
1.000000,24.100000,10.700000,16.091652
1.000000,25.400000,11.000000,8.577477
